Passo;Reservat rio (Ativa  es);Sa da (Ativa  es)
39;-0.973918,-0.862551,-0.343163,-0.211852,0.853473,-0.172193,-0.986165,0.961626,0.939273,0.848198,0.0596988,0.86823;-2.84832,0.283519,-0.101888,1.10655
40;-0.973918,-0.946547,-0.343163,-0.5635,0.796151,-0.365684,-0.986165,0.896514,0.935933,0.722487,-0.342584,0.86823;-2.90453,-0.620803,1.27681,1.27629
41;-0.840441,-0.979528,-0.486785,0.573042,0.659409,-0.678848,-0.714247,0.857789,0.904048,0.873554,-0.780975,0.609828;-3.38182,0.526664,-2.49641,0.8913
42;-0.840441,-0.877147,-0.486785,0.699823,0.811155,-0.545181,-0.714247,0.951092,0.913171,0.915297,-0.775761,0.609828;-3.37661,0.760304,-3.01991,0.588196
43;-0.927918,-0.477877,-0.625736,0.206707,0.772125,-0.694794,-0.924882,0.983367,0.947015,0.912547,-0.653866,0.812497;-2.63525,0.838596,-0.700581,0.868174
44;-0.927918,-0.779343,-0.625736,0.394951,0.705741,-0.671342,-0.924882,0.977382,0.946917,0.927963,-0.343124,0.812497;-3.05825,1.12931,-1.71301,1.06197
45;-0.973918,-0.862551,-0.343163,-0.211852,0.853473,-0.172193,-0.986165,0.961626,0.939273,0.848198,0.0596988,0.86823;-2.84832,0.283519,-0.101888,1.10655
46;-0.973918,-0.946547,-0.343163,-0.5635,0.796151,-0.365684,-0.986165,0.896514,0.935933,0.722487,-0.342584,0.86823;-2.90453,-0.620803,1.27681,1.27629
47;-0.840441,-0.979528,-0.486785,0.573042,0.659409,-0.678848,-0.714247,0.857789,0.904048,0.873554,-0.780975,0.609828;-3.38182,0.526664,-2.49641,0.8913
48;-0.840441,-0.877147,-0.486785,0.699823,0.811155,-0.545181,-0.714247,0.951092,0.913171,0.915297,-0.775761,0.609828;-3.37661,0.760304,-3.01991,0.588196
49;-0.927918,-0.477877,-0.625736,0.206707,0.772125,-0.694794,-0.924882,0.983367,0.947015,0.912547,-0.653866,0.812497;-2.63525,0.838596,-0.700581,0.868174
50;-0.927918,-0.779343,-0.625736,0.394951,0.705741,-0.671342,-0.924882,0.977382,0.946917,0.927963,-0.343124,0.812497;-3.05825,1.12931,-1.71301,1.06197
51;-0.973918,-0.862551,-0.343163,-0.211852,0.853473,-0.172193,-0.986165,0.961626,0.939273,0.848198,0.0596988,0.86823;-2.84832,0.283519,-0.101888,1.10655
52;-0.973918,-0.946547,-0.343163,-0.5635,0.796151,-0.365684,-0.986165,0.896514,0.935933,0.722487,-0.342584,0.86823;-2.90453,-0.620803,1.27681,1.27629
53;-0.840441,-0.979528,-0.486785,0.573042,0.659409,-0.678848,-0.714247,0.857789,0.904048,0.873554,-0.780975,0.609828;-3.38182,0.526664,-2.49641,0.8913
54;-0.870558,-0.752641,-0.221814,0.298543,0.835229,-0.101879,-0.837636,0.982711,0.850575,0.92862,-0.66609,0.561192;-3.08883,0.110553,-1.9359,0.934695
55;-0.870558,-0.881278,-0.221814,-0.0883456,0.808748,-0.388193,-0.837636,0.976903,0.855766,0.850755,-0.849976,0.561192;-3.28734,-0.445567,-0.345799,1.08607
56;-0.951569,-0.916182,-0.66245,-0.399186,0.800574,-0.333572,-0.972304,0.990073,0.967694,0.915241,-0.632237,0.721677;-3.19126,-0.427985,0.337997,0.81925
57;-0.951569,-0.965726,-0.66245,0.232355,0.764766,-0.327677,-0.972304,0.98278,0.969084,0.909051,-0.0771533,0.721677;-3.2627,0.880648,-1.81099,0.958374
