Passo;Reservat rio (Ativa  es);Sa da (Ativa  es)
90;0.299107,0.160411,0.402574,0.309487,0.373016,0.175898,-0.75738,0.354113,0.39818,0.537988,0.343736,-0.805446;1.00484,-7.57097,-1.51531,1.85488
91;-0.231156,-0.343113,0.182612,0.631987,0.561107,0.0153992,-0.638891,-0.225053,-0.0568186,0.0491568,0.191924,-0.510452;-0.912778,-3.0579,-2.03385,0.908894
92;-0.290749,0.21066,0.130659,0.441713,0.837547,0.347434,-0.461184,-0.3103,-0.0564747,0.440379,0.301299,-0.146119;-0.626049,-4.67525,-2.55628,0.166015
93;-0.0866731,0.618772,-0.192437,0.734333,0.724726,0.283079,-0.395266,-0.654732,0.127348,-0.0221096,0.569419,0.258651;-1.97585,-6.67768,-2.13871,-0.0704976
94;0.0653308,0.618772,-0.380208,0.734333,0.724726,0.283079,0.0125364,-0.651362,-0.125171,-0.268689,0.00340797,0.135567;-2.28875,-5.92737,-1.54701,-1.2124
95;0.110185,0.618772,0.0333682,0.734333,0.724726,0.283079,-0.0533767,-0.649555,-0.301846,0.23362,-0.0491152,0.346289;-0.226653,-5.44209,-2.46161,-1.01531
96;0.530429,0.625072,0.000456328,0.0495768,0.748868,0.481449,0.0310877,0.26433,-0.0281825,0.53554,-0.0783069,-0.251341;-0.135622,-6.34365,-1.76753,-0.483909
97;0.322297,0.3618,-0.196672,0.399256,-0.00226842,-0.13993,-0.668247,0.132728,-0.30413,0.328849,0.138001,-0.446252;-0.644419,-7.5596,-0.586083,-0.00761933
98;0.208528,0.3618,-0.349615,0.399256,-0.00226842,-0.13993,-0.736534,0.135307,-0.0770712,0.077851,0.203484,-0.789401;-1.47262,-8.69297,0.140411,0.182543
99;0.325399,0.3618,-0.392862,0.399256,-0.00226842,-0.13993,-0.833651,0.138437,-0.0440575,0.0186022,0.306796,-0.840375;-1.78726,-9.21152,0.2334,0.30503
100;0.342036,0.3618,-0.457653,0.399256,-0.00226842,-0.13993,-0.843879,0.139175,0.00269361,-0.0749754,0.309957,-0.869453;-2.13322,-9.33269,0.348187,0.310832
101;0.351432,0.3618,-0.459565,0.399256,-0.00226842,-0.13993,-0.846637,0.140341,0.00788551,-0.077826,0.279615,-0.880908;-2.10833,-9.35564,0.350087,0.298933
102;0.554762,0.564497,-0.758249,0.372083,0.26575,0.0274009,-0.946054,-0.104604,-0.0847984,-0.336207,0.517201,-0.931187;-3.87411,-11.0546,0.602882,-0.414142
103;0.540032,0.160411,-0.25791,0.309487,0.373016,0.175898,-0.718978,0.359329,0.296784,-0.222151,0.0112082,-0.957063;-2.08124,-7.68084,-0.591434,0.786645
104;-0.17781,-0.343113,0.413205,0.631987,0.561107,0.0153992,-0.641656,-0.215864,-0.0710698,0.337132,-0.138457,-0.736577;0.768356,-3.59542,-2.10078,0.903441
105;-0.213014,0.21066,0.366654,0.441713,0.837547,0.347434,-0.631745,-0.313603,-0.0492581,0.648329,0.572352,-0.00571708;0.107684,-4.90422,-3.0743,0.688447
106;0.114978,0.754562,-0.726428,0.719275,0.831224,0.429504,-0.701169,-0.7749,0.109138,-0.513413,0.736007,-0.0151226;-4.67007,-9.2088,-1.32246,-0.661079
107;0.477764,0.754562,-0.780448,0.719275,0.831224,0.429504,-0.593397,-0.768935,-0.156474,-0.614663,0.174779,-0.637443;-4.17859,-10.7466,-0.300114,-1.58956
108;0.562501,0.160411,-0.00150022,0.309487,0.373016,0.175898,-0.538938,0.362406,-0.279913,0.134561,-0.384063,-0.937596;-0.47724,-6.8659,-0.849017,-0.15484
