Passo;Reservat rio (Ativa  es);Sa da (Ativa  es)
59;0.147985,-0.689756,-0.797941,-0.296397,0.147019,-0.96309,0.880055,0.597271,0.499897,-0.357434,0.27355,-0.318185;-4.9187,-0.662128,-1.23411,0.168491
60;0.147985,0.353921,-0.712724,-0.269053,0.453799,-0.64992,0.990846,0.597271,0.518369,-0.508973,0.27355,-0.557233;-5.42167,0.710189,-1.60737,0.324043
61;0.0885905,0.443792,0.00140446,-0.784917,0.324897,0.249332,0.966212,-0.191749,0.436244,0.271628,0.582802,-0.951031;-4.48008,-1.8657,0.228169,0.366798
62;0.0885905,0.462073,-0.135427,-0.757374,0.379347,0.509285,0.849007,-0.191749,0.258756,0.431836,0.582802,-0.927016;-4.44394,-1.87884,0.776465,0.404166
63;0.173937,0.121364,0.154022,-0.43355,-0.121453,-0.65019,0.723934,0.500247,0.689258,-0.918131,-0.352762,-0.714176;-2.78485,0.106179,-2.35351,1.38444
64;0.173937,-0.200417,-0.362362,-0.509464,-0.040451,-0.88732,-0.45676,0.500247,0.771657,-0.831089,-0.352762,-0.0961319;-3.99899,1.08329,-2.52665,-0.153837
65;0.147985,-0.689756,-0.797941,-0.296397,0.147019,-0.96309,0.880055,0.597271,0.499897,-0.357434,0.27355,-0.318185;-4.9187,-0.662128,-1.23411,0.168491
66;0.147985,0.353921,-0.712724,-0.269053,0.453799,-0.64992,0.990846,0.597271,0.518369,-0.508973,0.27355,-0.557233;-5.42167,0.710189,-1.60737,0.324043
67;0.0885905,0.443792,0.00140446,-0.784917,0.324897,0.249332,0.966212,-0.191749,0.436244,0.271628,0.582802,-0.951031;-4.48008,-1.8657,0.228169,0.366798
68;0.0885905,0.462073,-0.135427,-0.757374,0.379347,0.509285,0.849007,-0.191749,0.258756,0.431836,0.582802,-0.927016;-4.44394,-1.87884,0.776465,0.404166
69;0.173937,0.121364,0.154022,-0.43355,-0.121453,-0.65019,0.723934,0.500247,0.689258,-0.918131,-0.352762,-0.714176;-2.78485,0.106179,-2.35351,1.38444
70;0.173937,-0.200417,-0.362362,-0.509464,-0.040451,-0.88732,-0.45676,0.500247,0.771657,-0.831089,-0.352762,-0.0961319;-3.99899,1.08329,-2.52665,-0.153837
71;0.147985,-0.689756,-0.797941,-0.296397,0.147019,-0.96309,0.880055,0.597271,0.499897,-0.357434,0.27355,-0.318185;-4.9187,-0.662128,-1.23411,0.168491
72;0.147985,0.353921,-0.712724,-0.269053,0.453799,-0.64992,0.990846,0.597271,0.518369,-0.508973,0.27355,-0.557233;-5.42167,0.710189,-1.60737,0.324043
